max_depth,min_samples_leaf,min_samples_split,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,r2_gap_train_minus_test,rmse_ratio_test_over_train
10,1,2,0.17847769028871383,131.0625,1.3300484470090088,169.49225646028788,0.9999654336289943,0.7544317847146953,0.24553364891429896,127.43314489140549
10,1,4,15.065616797900264,127.81770833333334,27.435727803449772,171.21238181714546,0.9852920604224688,0.7494220979177895,0.2358699625046793,6.240489883983219
None,1,4,15.065616797900264,127.81770833333334,27.435727803449772,171.21238181714546,0.9852920604224688,0.7494220979177895,0.2358699625046793,6.240489883983219
8,1,4,15.391076115485566,130.453125,27.56409852614547,172.65149094748324,0.9851541026509473,0.7451919777041538,0.23996212494679348,6.2636364031175376
6,1,4,23.48368953880765,135.3372023809524,40.71910347829984,176.13410499339008,0.967602217829513,0.7348086557722231,0.23279356205728985,4.32558897293149
6,1,2,18.378702662167232,141.71741071428573,36.18521155193262,177.74895937776435,0.9744152546832887,0.7299236444218008,0.2444916102614879,4.912198982798843
5,1,4,39.04778039108748,136.31666666666666,56.56287359541481,177.87426211991507,0.9374853511243234,0.7295427337695468,0.2079426173547766,3.1447175649564985
5,1,2,39.00053629659929,136.31666666666666,56.561620707750315,177.87426211991507,0.9374881205368373,0.7295427337695468,0.20794538676729046,3.14478722310625
8,1,2,3.4094488188976384,139.22916666666669,12.49351537835474,179.16023244260677,0.9969500818983283,0.7256179697076212,0.2713321121907072,14.340257887144029
8,2,2,29.900262467191602,126.36979166666666,50.61633257516372,182.74818313050338,0.9499389198357074,0.7145181077321409,0.23542081210356658,3.6104587952737957
8,2,4,29.900262467191602,126.36979166666666,50.61633257516372,182.74818313050338,0.9499389198357074,0.7145181077321409,0.23542081210356658,3.6104587952737957
10,2,2,29.900262467191602,126.36979166666666,50.61633257516372,182.74818313050338,0.9499389198357074,0.7145181077321409,0.23542081210356658,3.6104587952737957
10,2,4,29.900262467191602,126.36979166666666,50.61633257516372,182.74818313050338,0.9499389198357074,0.7145181077321409,0.23542081210356658,3.6104587952737957
None,2,2,29.900262467191602,126.36979166666666,50.61633257516372,182.74818313050338,0.9499389198357074,0.7145181077321409,0.23542081210356658,3.6104587952737957
None,2,4,29.900262467191602,126.36979166666666,50.61633257516372,182.74818313050338,0.9499389198357074,0.7145181077321409,0.23542081210356658,3.6104587952737957
None,1,2,0.0,139.375,0.0,184.0276813416938,1.0,0.7105065516939707,0.2894934483060293,
6,2,2,33.38136482939633,133.11822916666665,55.24266082298308,185.53129090402481,0.9403695559422455,0.7057565773866701,0.2346129785555754,3.3584785406795
6,2,4,33.38136482939633,133.11822916666665,55.24266082298308,185.53129090402481,0.9403695559422455,0.7057565773866701,0.2346129785555754,3.3584785406795
5,2,2,46.340307461567306,144.1703869047619,65.9885930536358,191.66612704929955,0.9149142945808824,0.6859757656420223,0.22893852893886002,2.90453422599134
5,2,4,46.340307461567306,144.1703869047619,65.9885930536358,191.66612704929955,0.9149142945808824,0.6859757656420223,0.22893852893886002,2.90453422599134
